Id,Separation,Trust,ServiceMark,Condition,Photo,Photos,Manufacturer,Model,Badge,BadgeDetail,Transmission,FuelType,Year,FormYear,Mileage,HomeServiceProgress,HomeServiceVerification,ServiceCopyCar,Price,SellType,BuyType,ModifiedDate,OfficeCityState,OfficeName,DealerName,AdWords,Hotmark,Powerpack,SalesStatus,Lease,LeaseType,AcceptanceCharge,MonthLeasePrice,MonthLeaseRest,MonthLeaseTotal,Deposit,ResidualValue,Succession
40368938,['B'],"['ExtendWarranty', 'HomeService']","['EncarMeetgo', 'EncarDiagnosisP1']","['Inspection', 'Record', 'Resume']",/carpicture06/pic4036/40368614_,"[{'type': '001', 'location': '/carpicture06/pic4036/40368614_001.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture06/pic4036/40368614_003.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture06/pic4036/40368614_004.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture06/pic4036/40368614_007.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202111.0,2022,31586.0,WAIT_CONSULTATION,Y,DUPLICATION,1630.0,일반,['Delivery'],2025-09-08 12:00:09.000 +09,서울,오토플러스(주),리본카 서울지점,,,,,,,,,,,,,
40105056,['B'],"['ExtendWarranty', 'HomeService']","['EncarMeetgo', 'EncarDiagnosisP1']","['Inspection', 'Record', 'Resume']",/carpicture10/pic4010/40104615_,"[{'type': '001', 'location': '/carpicture10/pic4010/40104615_001.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture10/pic4010/40104615_003.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture10/pic4010/40104615_004.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture10/pic4010/40104615_007.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,인스퍼레이션,오토,가솔린,202206.0,2023,30909.0,,Y,DUPLICATION,2030.0,일반,['Delivery'],2025-09-08 12:00:05.000 +09,서울,(주)카엔카,박영순,,,,,,,,,,,,,
40425979,['B'],"['ExtendWarranty', 'HomeService']","['EncarMeetgo', 'EncarDiagnosisP1']","['Inspection', 'Record', 'Resume']",/carpicture10/pic4040/40407934_,"[{'type': '001', 'location': '/carpicture10/pic4040/40407934_001.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture10/pic4040/40407934_003.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture10/pic4040/40407934_004.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture10/pic4040/40407934_007.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,스마트,오토,가솔린,202106.0,2021,18289.0,,Y,DUPLICATION,1580.0,일반,['Delivery'],2025-09-08 12:00:05.000 +09,경기,주식회사 설레임 오토모티브,김희원,,,,,,,,,,,,,
39590184,['B'],[],[],"['Inspection', 'Record', 'Resume']",/carpicture09/pic3959/39590184_,"[{'type': '001', 'location': '/carpicture09/pic3959/39590184_001.jpg', 'updatedDate': '2025-05-08T01:47:28Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture09/pic3959/39590184_003.jpg', 'updatedDate': '2025-05-08T01:47:28Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture09/pic3959/39590184_004.jpg', 'updatedDate': '2025-05-08T01:47:28Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture09/pic3959/39590184_007.jpg', 'updatedDate': '2025-05-08T01:47:28Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202011.0,2021,76578.0,,,ORIGINAL,1490.0,일반,[],2025-09-08 11:59:09.000 +09,경기,카리브 모터스,송영석,#무사고#차선이탈#후측방#크루즈#300만원추가옵션,13;14;15,,,,,,,,,,,
40233446,['B'],[],[],"['Inspection', 'Record', 'Resume']",/carpicture03/pic4023/40233446_,"[{'type': '001', 'location': '/carpicture03/pic4023/40233446_001.jpg', 'updatedDate': '2025-08-05T01:59:14Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture03/pic4023/40233446_003.jpg', 'updatedDate': '2025-08-05T01:59:14Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture03/pic4023/40233446_004.jpg', 'updatedDate': '2025-08-05T01:59:14Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture03/pic4023/40233446_007.jpg', 'updatedDate': '2025-08-05T01:59:14Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,스마트,오토,가솔린,202105.0,2021,107723.0,,,ORIGINAL,1159.0,일반,[],2025-09-08 11:59:09.000 +09,경기,(주)정모터스,이정수,,10;12;17,엔카 실촬영/신차가1873만원/네비후방카메라/철저정비/신차급/,,,,,,,,,,
40368614,['B'],"['Warranty', 'ExtendWarranty']",['EncarDiagnosisP0'],"['Inspection', 'Record', 'Resume']",/carpicture06/pic4036/40368614_,"[{'type': '001', 'location': '/carpicture06/pic4036/40368614_001.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture06/pic4036/40368614_003.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture06/pic4036/40368614_004.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture06/pic4036/40368614_007.jpg', 'updatedDate': '2025-08-25T00:58:06Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202111.0,2022,31586.0,WAIT_CONSULTATION,,ORIGINAL,1630.0,일반,[],2025-09-08 11:59:09.000 +09,서울,오토플러스(주),리본카 서울지점,,19;24;29, 합리적인 가격/하이패스시스템+ECM룸미러/인포테인먼트내비II,,,,,,,,,,
40129140,['B'],['Warranty'],['EncarDiagnosisP0'],"['Inspection', 'Record', 'Resume']",/carpicture02/pic4012/40129140_,"[{'type': '001', 'location': '/carpicture02/pic4012/40129140_001.jpg', 'updatedDate': '2025-07-22T00:58:52Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture02/pic4012/40129140_003.jpg', 'updatedDate': '2025-07-22T00:58:52Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture02/pic4012/40129140_004.jpg', 'updatedDate': '2025-07-22T00:58:52Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture02/pic4012/40129140_007.jpg', 'updatedDate': '2025-07-22T00:58:52Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202107.0,2021,55050.0,,,ORIGINAL,1630.0,일반,[],2025-09-08 11:59:05.000 +09,서울,롯데렌탈,T카 강서매매센터,,,,,,,,,,,,,
40200405,['B'],[],[],"['Inspection', 'Record']",/carpicture10/pic4020/40200405_,"[{'type': '001', 'location': '/carpicture10/pic4020/40200405_001.jpg', 'updatedDate': '2025-07-30T04:54:12Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture10/pic4020/40200405_003.jpg', 'updatedDate': '2025-07-30T04:54:12Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture10/pic4020/40200405_004.jpg', 'updatedDate': '2025-07-30T04:54:12Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture10/pic4020/40200405_007.jpg', 'updatedDate': '2025-07-30T04:54:12Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202103.0,2021,79730.0,,,ORIGINAL,1560.0,일반,[],2025-09-08 11:59:05.000 +09,대전,(주)영진모터스대표,정근섭,,14;15;13,엔카 실촬영,,,,,,,,,,
40104615,['B'],['Warranty'],['EncarDiagnosisP0'],"['Inspection', 'Record', 'Resume']",/carpicture10/pic4010/40104615_,"[{'type': '001', 'location': '/carpicture10/pic4010/40104615_001.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture10/pic4010/40104615_003.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture10/pic4010/40104615_004.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture10/pic4010/40104615_007.jpg', 'updatedDate': '2025-07-16T04:58:51Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,인스퍼레이션,오토,가솔린,202206.0,2023,30909.0,,,ORIGINAL,2030.0,일반,[],2025-09-08 11:59:05.000 +09,서울,(주)카엔카,박영순,,14;15;13,엔카 실촬영,,,,,,,,,,
40407934,['B'],['Warranty'],['EncarDiagnosisP0'],"['Inspection', 'Record', 'Resume']",/carpicture10/pic4040/40407934_,"[{'type': '001', 'location': '/carpicture10/pic4040/40407934_001.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture10/pic4040/40407934_003.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture10/pic4040/40407934_004.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture10/pic4040/40407934_007.jpg', 'updatedDate': '2025-09-01T06:58:13Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,스마트,오토,가솔린,202106.0,2021,18289.0,,,ORIGINAL,1580.0,일반,[],2025-09-08 11:59:05.000 +09,경기,주식회사 설레임 오토모티브,김희원,,,,,,,,,,,,,
40450468,['B'],['Warranty'],['EncarDiagnosisP0'],"['Inspection', 'Record', 'Resume']",/carpicture05/pic4045/40450468_,"[{'type': '001', 'location': '/carpicture05/pic4045/40450468_001.jpg', 'updatedDate': '2025-09-04T01:59:30Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture05/pic4045/40450468_003.jpg', 'updatedDate': '2025-09-04T01:59:30Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture05/pic4045/40450468_004.jpg', 'updatedDate': '2025-09-04T01:59:30Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture05/pic4045/40450468_007.jpg', 'updatedDate': '2025-09-04T01:59:30Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202009.0,2021,115143.0,,,ORIGINAL,1350.0,일반,[],2025-09-08 11:59:05.000 +09,경기,롯데렌탈,T카 용인매매센터,,,,,,,,,,,,,
39396019,['B'],"['Warranty', 'ExtendWarranty']",['EncarDiagnosisP0'],['Inspection'],/carpicture09/pic3939/39396019_,"[{'type': '001', 'location': '/carpicture09/pic3939/39396019_001.jpg', 'updatedDate': '2025-04-08T01:52:11Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture09/pic3939/39396019_003.jpg', 'updatedDate': '2025-04-08T01:52:11Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture09/pic3939/39396019_004.jpg', 'updatedDate': '2025-04-08T01:52:11Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture09/pic3939/39396019_007.jpg', 'updatedDate': '2025-04-08T01:52:11Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,인스퍼레이션,오토,가솔린,202007.0,2021,14628.0,,,ORIGINAL,1980.0,일반,[],2025-09-08 11:59:05.000 +09,충북,(주)더챔,박승호,,,,,,,,,,,,,
40447205,['B'],"['ExtendWarranty', 'HomeService']","['EncarMeetgo', 'EncarDiagnosisP1']","['Inspection', 'Record', 'Resume']",/carpicture03/pic4043/40439129_,"[{'type': '001', 'location': '/carpicture03/pic4043/40439129_001.jpg', 'updatedDate': '2025-09-03T05:53:37Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture03/pic4043/40439129_003.jpg', 'updatedDate': '2025-09-03T05:53:37Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture03/pic4043/40439129_004.jpg', 'updatedDate': '2025-09-03T05:53:37Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture03/pic4043/40439129_007.jpg', 'updatedDate': '2025-09-03T05:53:37Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202008.0,2021,42525.0,,Y,DUPLICATION,1540.0,일반,['Delivery'],2025-09-08 11:58:02.000 +09,인천,(주)시우자동차,이학주,,,,,,,,,,,,,
40423351,['B'],['Warranty'],['EncarDiagnosisP0'],"['Inspection', 'Record', 'Resume']",/carpicture02/pic4042/40423351_,"[{'type': '001', 'location': '/carpicture02/pic4042/40423351_001.jpg', 'updatedDate': '2025-09-01T07:58:03Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture02/pic4042/40423351_003.jpg', 'updatedDate': '2025-09-01T07:58:03Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture02/pic4042/40423351_004.jpg', 'updatedDate': '2025-09-01T07:58:03Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture02/pic4042/40423351_007.jpg', 'updatedDate': '2025-09-01T07:58:03Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,인스퍼레이션,오토,가솔린,202109.0,2021,53092.0,,,ORIGINAL,1770.0,일반,[],2025-09-08 11:58:02.000 +09,경기,롯데렌탈,T카 부천매매센터,,,,,,,,,,,,,
40064944,['B'],[],[],"['Inspection', 'Record', 'Resume']",/carpicture06/pic4006/40064944_,"[{'type': '001', 'location': '/carpicture06/pic4006/40064944_001.jpg', 'updatedDate': '2025-07-10T06:58:05Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture06/pic4006/40064944_003.jpg', 'updatedDate': '2025-07-10T06:58:05Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture06/pic4006/40064944_004.jpg', 'updatedDate': '2025-07-10T06:58:05Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture06/pic4006/40064944_007.jpg', 'updatedDate': '2025-07-10T06:58:05Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,모던,오토,가솔린,202011.0,2021,86098.0,,,ORIGINAL,1310.0,일반,[],2025-09-08 11:58:02.000 +09,서울,(주)오토플래닛,오토플래닛,엔카 실촬영,14;15;13,,,,,,,,,,,
40118198,['B'],['Warranty'],['EncarDiagnosisP0'],"['Inspection', 'Record']",/carpicture01/pic4011/40118198_,"[{'type': '001', 'location': '/carpicture01/pic4011/40118198_001.jpg', 'updatedDate': '2025-07-18T02:37:00Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture01/pic4011/40118198_003.jpg', 'updatedDate': '2025-07-18T02:37:00Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture01/pic4011/40118198_004.jpg', 'updatedDate': '2025-07-18T02:37:00Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture01/pic4011/40118198_007.jpg', 'updatedDate': '2025-07-18T02:37:00Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6 LPi,스타일,오토,LPG(일반인 구입),202010.0,2021,55505.0,,,ORIGINAL,1455.0,일반,[],2025-09-08 11:58:02.000 +09,대구,태풍자동차,박성우,열선+핸들/카플레이/스마트키/차선이탈/차선유지보조/하이패스,09;13;26,,,,,,,,,,,
40431208,['B'],['Compensate'],[],"['Inspection', 'Record', 'Resume']",/carpicture03/pic4043/40431208_,"[{'type': '001', 'location': '/carpicture03/pic4043/40431208_001.jpg', 'updatedDate': '2025-09-02T03:19:34Z', 'ordering': 1.0}, {'type': '003', 'location': '/carpicture03/pic4043/40431208_003.jpg', 'updatedDate': '2025-09-02T03:19:34Z', 'ordering': 3.0}, {'type': '004', 'location': '/carpicture03/pic4043/40431208_004.jpg', 'updatedDate': '2025-09-02T03:19:34Z', 'ordering': 4.0}, {'type': '007', 'location': '/carpicture03/pic4043/40431208_007.jpg', 'updatedDate': '2025-09-02T03:19:34Z', 'ordering': 7.0}]",현대,아반떼 (CN7),1.6,인스퍼레이션,오토,가솔린,202108.0,2021,40515.0,,,ORIGINAL,1980.0,일반,[],2025-09-08 11:58:02.000 +09,경기,(주)유로모터스,박재현,,09;19;26,"짧은키로수/엔진/미션제조사보증/선루프/비흡연/내,외관매우청결",,,,,,,,,,
